call_id,filename,agent_id,loan_id,uploaded_at,processed_at,product_score,product_score_pct,product_grade,product_disposition,product_risk_level,product_ptp_detected,product_ptp_date,product_ptp_amount,rpc_confirmed,disclaimer_given,agent_intro_done,customer_name_used,product_A1_opening,product_A2_case_knowledge,product_A3_probing,product_A4_negotiation,product_A5_commitment_ptp,product_A6_closing,product_A7_professionalism,product_A8_call_handling,product_A9_troubleshooting,product_ai_detection,product_key_issues,product_compliance_flags,transcript_preview,manual_score,manual_grade,manual_rpc,manual_ptp,manual_disposition,manual_A1,manual_A2,manual_A3,manual_A4,manual_A5,manual_A6,manual_A7,manual_A8,manual_A9,score_delta,match_yes_no,auditor_notes,rules_rescore_total,rules_rescore_grade,rules_rescore_ptp,rules_rescore_rpc,rules_rescore_disposition,rules_delta_vs_product
CALL-290908E9,7.wav,,,2026-05-08T09:25:19.667640+00:00,2026-05-08T09:25:33.105156+00:00,1,5,Poor,,,False,,,,,,,0,0,0,0,0,0,1,0,0,,No case knowledge; No probing; No negotiation; No PTP,,"Hello Hello Hello Yes, good afternoon sir, Akhilesh Kumar Sharma sir is speaking. Hello Hello, yes good afternoon sir, Akhilesh Sharma sir is speaking. Yes, tell me. Sir, I am Mansi speaking on behalf of OK Credit, the call is recorded. Sir, you had taken a loan of 50000 from OK Credit, its Sir, 7500. For the last 261 days, sir, what problem is occurring that is causing the payment not to be happening, sir? Madam, we are not getting the direct link, like we deposit 7500. What is not received, si",,,,,,,,,,,,,,,,,,0,Poor,False,False,APP_ISSUE,-1
CALL-26ABA6C4,CALL-61823FA2_CALL-61823FA2_resources_sample-calls.mp3,,,2026-05-08T08:32:50.879937+00:00,2026-05-08T08:33:05.795028+00:00,3,15,Poor,,,False,,,,,,,0,0,0,0,0,0,3,0,0,,No case knowledge demonstrated; No negotiation or commitment process followed,,"call is now being recorded. Parker Scarfs, how may I help you? I bought a scarf online for my wife and it turns out they shipped the wrong color. Oh, I am so sorry, sir. I got it for a birthday which is tonight and now I I'm not 100% sure what I need to do. Okay, let me see if I can help you. Do you have the item number of the Parker scarf? I don't I don't think so.  Zip code are you located in? 19406. Okay, it appears that we do not or I'm sorry that we do have that item in stock at Karen's Bou",,,,,,,,,,,,,,,,,,0,Poor,True,False,PTP,-3
CALL-EE7FCEE3,7.wav,,,2026-05-08T08:31:46.566712+00:00,2026-05-08T08:31:56.589015+00:00,7,35,Poor,,,False,,,,,,,1,2,1,0,0,1,1,0,1,,No PTP confirmed; Threats of legal action; Poor payment link resolution,THREAT,"Hello Hello Hello Yes, good afternoon sir, Akhilesh Kumar Sharma sir is speaking. Hello Hello, yes good afternoon sir, Akhilesh Sharma sir is speaking. Yes, tell me. Sir, I am Mansi speaking on behalf of OK Credit, the call is recorded. Sir, you had taken a loan of 50,000 from OK Credit, its Sir, 7500. For the last 261 days, sir, what problem is occurring that is causing the payment not to be happening, sir? Madam, we are not getting the direct link, like we deposit 7500. What is not available, ",,,,,,,,,,,,,,,,,,20,Excellent,True,False,PTP,13
CALL-73A4E983,3.wav,,,2026-05-08T08:30:57.619522+00:00,2026-05-08T08:31:12.321489+00:00,0,0,Poor,,,False,,,,,,,0,0,0,0,0,0,0,0,0,,issue1,,"Hello, hello, hello, hello, yes ma'am, I am speaking on behalf of Apollo. I am speaking with Priyank ji. Ma'am, I will call you later when I am free. Ma'am, listen, listen, we won't take much time, we will take two minutes. Please talk for a while. Look, you won't pick up the phone later. It's better if you talk, ma'am. I will call you after being free. In how many minutes will you be free? Ma'am, I will be free by tomorrow. What are you doing, ma'am, that you will be free by tomorrow? Please gi",,,,,,,,,,,,,,,,,,0,Poor,True,False,PTP,0
CALL-2E09ACE0,3.wav,,,2026-05-08T08:30:04.667492+00:00,2026-05-08T08:30:12.728271+00:00,0,0,Poor,,,False,,,,,,,0,0,0,0,0,0,0,0,0,,No disclaimer/confirmation in opening; No case-specific details provided; Aggressive tone without empathy; No PTP discussion or closure,,"Hello, hello, hello, hello, yes ma'am, I am speaking on behalf of Apollo. I am speaking with Priyank ji. Ma'am, I will call you later when I am free. Ma'am, listen, listen, we won't take much time, we will take two minutes. Please talk for a while. Look, you won't pick up the phone later. It's better if you talk, ma'am. I will call you after being free. In how many minutes will you be free? Ma'am, I will be free by tomorrow. What are you doing, ma'am, that you will be free by tomorrow? Please gi",,,,,,,,,,,,,,,,,,0,Poor,True,False,PTP,0
CALL-1482A970,CALL-B25996F1_CALL-B25996F1_resources_sample-calls.mp3,,,2026-05-05T10:15:04.201446+00:00,2026-05-05T10:15:17.055857+00:00,3,15,Poor,,,False,,,,,,,0,0,0,0,0,0,3,0,0,,No case knowledge demonstrated; No PTP established; No probing for documentation,,"call is now being recorded. Parker Scarfs, how may I help you? I bought a scarf online for my wife and it turns out they shipped the wrong color. Oh, I am so sorry, sir. I got it for a birthday which is tonight and now I I'm not 100% sure what I need to do. Okay, let me see if I can help you. Do you have the item number of the Parker scarf? I don't I don't think so. it's called a New Yorker I think. Excellent. Okay. what color did you want the New Yorker in? Blue. The one that shipped was light ",,,,,,,,,,,,,,,,,,0,Poor,True,False,PTP,-3
CALL-C68ABB34,view,,,2026-05-05T10:13:36.598556+00:00,2026-05-05T10:13:45.125315+00:00,2,10,Poor,,,True,,,,,,,0,1,0,0,0,0,1,0,0,,No PTP confirmation; Lack of probing,,"Hello. Hello. Yes. This is Gaurav Sanyal speaking. Yes, tell me. Good morning, sir, I am speaking on behalf of the Tala app. Sir, this payment for Tala is pending. I have not made any extra payment. I will do it in five to ten days, I will do it in a week. Sir, the payment of ₹2740 is pending. From 2022, above four years. ",,,,,,,,,,,,,,,,,,0,Poor,True,False,PTP,-2
CALL-2582ADD9,3.wav,,,2026-05-05T10:11:06.153224+00:00,2026-05-05T10:11:13.153108+00:00,0,0,Poor,,,False,,,,,,,0,0,0,0,0,0,0,0,0,,No disclaimer/company/customer confirmation; No case details provided; No probing for documentation; No negotiation elements; No PTP secured,,"Hello, hello, hello, hello, yes ma'am, I am speaking on behalf of Apollo. I am speaking with Priyank ji. Ma'am, I will call you later when I am free. Ma'am, listen, listen, we won't take much time, we will take two minutes. Please talk for a while. Look, you won't pick up the phone later. It's better if you talk, ma'am. I will call you after being free. In how many minutes will you be free? Ma'am, I will be free by tomorrow. What are you doing, ma'am, that you will be free by tomorrow? Please gi",,,,,,,,,,,,,,,,,,0,Poor,True,False,PTP,0
CALL-95D61123,8.wav,,,2026-05-05T10:09:25.296005+00:00,2026-05-05T10:09:32.066091+00:00,0,0,Poor,,,False,,,,,,,0,0,0,0,0,0,0,0,0,,No disclaimer/company/customer name mentioned; No case details provided; No probing for documentation; No negotiation or urgency communicated; No PTP commitment secured; Unprofessional tone and call handling,,"Hello. Hello. Sir, please don't disconnect the call. Please tell me, by when can you make the payment? The call got disconnected. I am saying that this agreement, can you send it to me? Agreement means sir? Sir, your voice is not coming through. Can you speak a little clearly?    I need to send a screenshot. You have made the payment and write it below, I need the NOC, the payment is cleared. You will receive an email in 20 to 25 days that you will also get the NOC. It will be visible in the bla",,,,,,,,,,,,,,,,,,0,Poor,True,False,PTP,0
CALL-20BEC733,7.wav,,,2026-05-05T10:08:53.765312+00:00,2026-05-05T10:09:01.704051+00:00,0,0,Poor,,,False,,,,,,,0,0,0,0,0,0,0,0,0,,Incorrect loan amount stated; No probing for documentation; No urgency/consequences communicated; No payment commitment secured,,"Hello Hello Hello Yes, good afternoon sir, Akhilesh Kumar Sharma sir is speaking. Hello Hello, yes good afternoon sir, Akhilesh Sharma sir is speaking. Yes, tell me. Sir, I am Mansi speaking on behalf of OK Credit, the call is recorded. Sir, you had taken a loan of 50000 from OK Credit, its   No sir, the link is showing seven thousand five hundred. Hello. One minute sir, one minute sir, is this your WhatsApp number? Yes. I'll share it with you, one minute. Oh, because of the app due, it's been o",,,,,,,,,,,,,,,,,,0,Poor,False,False,CALLBACK,0
